Operadora,Anio,Mes,Region,Distrito,Provincia,Velocidad de subida 4G,Velocidad de bajada 4G,Tiempo de cobertura 4G,Latencia 4G,Pérdida de paquetes 4G
Movistar,2024,Enero,Total,Total,Total,3.24,10.08,90.08,79.34,1.11
Claro,2024,Enero,Total,Total,Total,3.25,12.84,86.79,77.34,0.78
Entel,2024,Enero,Total,Total,Total,3.61,11.95,88.85,76.16,0.78
Bitel,2024,Enero,Total,Total,Total,3.07,9.5,89.29,86.9,1.87
Promedio,2024,Enero,Total,Total,Total,3.31,11.48,88.5,79.1,1.05
Movistar,2024,Febrero,Total,Total,Total,3.18,10.03,89.76,79.32,1.04
Claro,2024,Febrero,Total,Total,Total,3.22,12.78,86.48,76.66,0.84
Entel,2024,Febrero,Total,Total,Total,3.59,11.93,88.86,73.63,0.81
Bitel,2024,Febrero,Total,Total,Total,3.06,9.76,89.29,87.01,1.91
Promedio,2024,Febrero,Total,Total,Total,3.28,11.47,88.31,78.3,1.06
Movistar,2024,Marzo,Total,Total,Total,3.16,10.02,89.8,79.1,1
Claro,2024,Marzo,Total,Total,Total,3.14,12.83,86.61,75.71,0.77
Entel,2024,Marzo,Total,Total,Total,3.5,11.86,89.08,72.57,0.77
Bitel,2024,Marzo,Total,Total,Total,3.03,10.06,89.56,82.44,1.63
Promedio,2024,Marzo,Total,Total,Total,3.21,11.51,88.46,76.92,0.97
Movistar,2024,Abril,Total,Total,Total,3.15,9.95,90.01,78.84,0.94
Claro,2024,Abril,Total,Total,Total,3.17,12.66,86.7,71.57,0.75
Entel,2024,Abril,Total,Total,Total,3.44,11.55,89.32,71.39,0.8
Bitel,2024,Abril,Total,Total,Total,3.07,10.2,90.01,80.77,1.49
Promedio,2024,Abril,Total,Total,Total,3.21,11.38,88.67,74.79,0.94
Movistar,2024,Mayo,Total,Total,Total,3.21,10.06,90.15,78.55,0.94
Claro,2024,Mayo,Total,Total,Total,3.19,12.73,87.08,70.7,0.73
Entel,2024,Mayo,Total,Total,Total,3.46,11.61,89.9,71.44,0.78
Bitel,2024,Mayo,Total,Total,Total,3.2,10.66,90.31,71.64,1.48
Promedio,2024,Mayo,Total,Total,Total,3.26,11.53,89.03,72.83,0.92
Movistar,2024,Junio,Total,Total,Total,3.3,10.06,90.17,79.06,0.95
Claro,2024,Junio,Total,Total,Total,3.2,12.56,87.54,70.73,0.67
Entel,2024,Junio,Total,Total,Total,3.5,11.42,90.57,72.38,0.76
Bitel,2024,Junio,Total,Total,Total,3.39,10.87,90.3,69.36,1.42
Promedio,2024,Junio,Total,Total,Total,3.33,11.45,89.35,72.76,0.89
Movistar,2024,Julio,Total,Total,Total,3.29,10.14,90.1,79.39,1.03
Claro,2024,Julio,Total,Total,Total,3.15,12.37,87.88,67.43,0.77
Entel,2024,Julio,Total,Total,Total,3.5,11.33,90.56,71.07,0.81
Bitel,2024,Julio,Total,Total,Total,3.37,10.84,88.39,70.77,1.45
Promedio,2024,Julio,Total,Total,Total,3.31,11.36,89.1,71.57,0.96
